question,dateFinished,dueDate,action_code,activityNameEN,planned,time:timestamp,monitoringResource,org:resource,activityNameNL,concept:name,lifecycle:transition,case:concept:name,case:Responsible_actor,case:endDate,case:caseStatus,case:parts,case:SUMleges,case:last_phase,case:case_type,case:startDate,case:requestComplete,case:IDofConceptCase,case:termName,case:caseProcedure,case:landRegisterID,case:Includes_subCases,dateStop,case:endDatePlanned
EMPTY,2014-08-19 00:00:00+00:00,,01_HOOFD_490_1a,set decision status,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,instellen besluitstatus,01_HOOFD_490_1a,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-19 00:00:00+00:00,,01_HOOFD_490_1,creating environmental permit decision,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,aanmaken besluit omgevingsvergunning,01_HOOFD_490_1,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-19 00:00:00+00:00,,01_HOOFD_375,phase advice known,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,fase advies bekend,01_HOOFD_375,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-19 00:00:00+00:00,,01_HOOFD_195,phase application receptive,2014-08-20 11:52:58+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,fase aanvraag ontvankelijk,01_HOOFD_195,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-19 00:00:00+00:00,,01_HOOFD_490_4,generating decision environmental permit,2014-08-20 11:53:03+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,genereren beschikking omgevingsvergunning,01_HOOFD_490_4,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
42,2014-08-20 00:00:00+00:00,,01_HOOFD_500,register objection and appeal periods,2014-08-21 09:49:56+00:00,2014-08-19 22:00:00+00:00,1550894,560781,registreren bezwaar beroepstermijn,01_HOOFD_500,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
True,2014-08-20 00:00:00+00:00,,01_HOOFD_510_0,creating cover letter decision,2014-08-21 09:49:56+00:00,2014-08-19 22:00:00+00:00,1550894,560781,begeleidende brief beschikking aanmaken,01_HOOFD_510_0,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-20 00:00:00+00:00,,01_HOOFD_490_5,record date of decision environmental permit,2014-08-20 12:00:47+00:00,2014-08-19 22:00:00+00:00,1550894,560781,registreren datum besluit omgevingsvergunning2,01_HOOFD_490_5,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-20 00:00:00+00:00,,01_HOOFD_495,phase decision taken,2014-08-21 09:49:55+00:00,2014-08-19 22:00:00+00:00,1550894,560781,fase besluit genomen,01_HOOFD_495,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-20 00:00:00+00:00,,01_HOOFD_490_5a,set decision phase decision permitting decided,2014-08-21 09:49:54+00:00,2014-08-19 22:00:00+00:00,1550894,560781,instellen besluitfase:besluit vergunnen besloten,01_HOOFD_490_5a,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-20 00:00:00+00:00,,01_HOOFD_510_1,transcript decision environmental permit to stakeholders,2014-08-21 09:49:56+00:00,2014-08-19 22:00:00+00:00,1550894,560781,afschrift beschikking omgevingsvergunning aan belanghebbenden,01_HOOFD_510_1,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-21 00:00:00+00:00,,01_HOOFD_510_2,enter senddate decision environmental permit,2014-08-21 09:51:37+00:00,2014-08-20 22:00:00+00:00,1550894,560781,invoeren verzenddatum beschikking omgevingsvergunning,01_HOOFD_510_2,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-21 00:00:00+00:00,,01_HOOFD_510_3,enter senddate decision environmental permit,2014-08-22 07:30:53+00:00,2014-08-20 22:00:00+00:00,1550894,560781,invoeren verzenddatum beschikking omgevingsvergunning,01_HOOFD_510_3,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-21 00:00:00+00:00,,01_HOOFD_510_2a,start decision phase decision permitting sent,2014-08-22 07:30:50+00:00,2014-08-20 22:00:00+00:00,1550894,560781,instellen besluitfase:besluit vergunnen verzonden,01_HOOFD_510_2a,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-21 00:00:00+00:00,,01_HOOFD_510_4,enter senddate decision,2014-08-22 07:30:54+00:00,2014-08-20 22:00:00+00:00,1550894,560781,invoeren verzenddatum beschikking,01_HOOFD_510_4,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-21 00:00:00+00:00,,01_HOOFD_515,phase decision sent,2014-08-22 07:30:54+00:00,2014-08-20 22:00:00+00:00,1550894,560781,fase beschikking verzonden,01_HOOFD_515,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-10-07 00:00:00+00:00,,01_BB_540,objection lodged against decision,2014-08-22 07:30:54+00:00,2014-10-06 22:00:00+00:00,1550894,560752,bezwaar tegen beschikking ingediend,01_BB_540,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-10-07 00:00:00+00:00,,01_BB_775,phase decision irrevocable,2014-10-08 09:55:54+00:00,2014-10-06 22:00:00+00:00,1550894,560752,fase besluit onherroepelijk,01_BB_775,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-10-07 00:00:00+00:00,,01_HOOFD_811,stop all running subcases 2b,2014-10-08 09:55:54+00:00,2014-10-06 22:00:00+00:00,1550894,560752,stop alle lopende deelzaken 2b,01_HOOFD_811,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-10-07 00:00:00+00:00,,01_BB_770,set phase: phase permitting irrevocable,2014-10-08 09:55:52+00:00,2014-10-07 09:55:52+00:00,1550894,560752,instellen besluitfase: oorspronkelijk besluit,01_BB_770,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-06 00:00:00+00:00,2014-08-11 07:11:22+00:00,01_HOOFD_010,register submission date request,2014-08-07 07:11:22+00:00,2014-08-04 22:00:00+00:00,560752,560752,registratie datum binnenkomst aanvraag,01_HOOFD_010,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_011,OLO messaging active,2014-08-07 07:16:12+00:00,2014-08-05 22:00:00+00:00,560431,560752,OLO berichtenverkeer actief,01_HOOFD_011,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_020,send confirmation receipt,2014-08-07 07:16:13+00:00,2014-08-05 22:00:00+00:00,560431,560752,versturen ontvangstbevestiging,01_HOOFD_020,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
False,2014-08-06 00:00:00+00:00,,02_DRZ_010,forward to the competent authority,2014-08-07 07:16:13+00:00,2014-08-05 22:00:00+00:00,560431,560752,doorsturen aan bevoegd gezag,02_DRZ_010,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
True,2014-08-06 00:00:00+00:00,,04_BPT_005,regular procedure without MER,2014-08-07 07:16:13+00:00,2014-08-05 22:00:00+00:00,560431,560752,reguliere procedure zonder MER,04_BPT_005,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
True,2014-08-06 00:00:00+00:00,,01_HOOFD_065_0,create procedure confirmation,2014-08-07 07:16:17+00:00,2014-08-05 22:00:00+00:00,560431,560752,procedurebevestiging aanmaken,01_HOOFD_065_0,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_090,publish,2014-08-07 07:35:43+00:00,2014-08-05 22:00:00+00:00,560431,560752,publiceren,01_HOOFD_090,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_110_0,create subcases completeness,2014-08-07 07:35:43+00:00,2014-08-05 22:00:00+00:00,560431,560752,deelzaken volledigheid aanmaken,01_HOOFD_110_0,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_180,procedure change,2014-08-07 07:35:44+00:00,2014-08-05 22:00:00+00:00,560431,560752,procedure verandering,01_HOOFD_180,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
EMPTY,2014-08-06 00:00:00+00:00,,01_HOOFD_065_1,send procedure confirmation,2014-08-07 07:16:17+00:00,2014-08-05 22:00:00+00:00,560431,560752,procedurebevestiging versturen,01_HOOFD_065_1,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
EMPTY,2014-08-06 00:00:00+00:00,2014-08-11 07:16:13+00:00,01_HOOFD_015,phase application received,2014-08-07 07:16:13+00:00,2014-08-05 22:00:00+00:00,560431,560752,fase aanvraag ontvangen,01_HOOFD_015,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
EMPTY,2014-08-06 00:00:00+00:00,,01_HOOFD_061,start WABOprocedure,2014-08-07 07:16:17+00:00,2014-08-05 22:00:00+00:00,560431,560752,WABOprocedure instellen,01_HOOFD_061,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
EMPTY,2014-08-06 00:00:00+00:00,,01_HOOFD_065_2,enter senddate procedure confirmation,2014-08-07 07:35:43+00:00,2014-08-06 07:35:43+00:00,560431,560752,invoeren verzenddatum procedurebevestiging,01_HOOFD_065_2,complete,10003250,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-04 22:00:00+00:00,True,10003257.0,Termijn tot besluit,,,,,
False,2014-08-14 00:00:00+00:00,,01_HOOFD_011,OLO messaging active,2014-08-15 09:58:21+00:00,2014-08-13 22:00:00+00:00,560431,560752,OLO berichtenverkeer actief,01_HOOFD_011,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
False,2014-08-14 00:00:00+00:00,,01_HOOFD_020,send confirmation receipt,2014-08-15 09:58:21+00:00,2014-08-13 22:00:00+00:00,560431,560752,versturen ontvangstbevestiging,01_HOOFD_020,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
False,2014-08-14 00:00:00+00:00,,02_DRZ_010,forward to the competent authority,2014-08-15 09:58:21+00:00,2014-08-13 22:00:00+00:00,560431,560752,doorsturen aan bevoegd gezag,02_DRZ_010,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
True,2014-08-14 00:00:00+00:00,,04_BPT_005,regular procedure without MER,2014-08-15 09:58:22+00:00,2014-08-13 22:00:00+00:00,560431,560752,reguliere procedure zonder MER,04_BPT_005,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
True,2014-08-14 00:00:00+00:00,,01_HOOFD_065_0,create procedure confirmation,2014-08-15 09:58:30+00:00,2014-08-13 22:00:00+00:00,560431,560752,procedurebevestiging aanmaken,01_HOOFD_065_0,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
False,2014-08-14 00:00:00+00:00,,01_HOOFD_090,publish,2014-08-15 10:00:38+00:00,2014-08-13 22:00:00+00:00,560431,560752,publiceren,01_HOOFD_090,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
False,2014-08-14 00:00:00+00:00,,01_HOOFD_110_0,create subcases completeness,2014-08-15 10:00:38+00:00,2014-08-13 22:00:00+00:00,560431,560752,deelzaken volledigheid aanmaken,01_HOOFD_110_0,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
False,2014-08-14 00:00:00+00:00,,01_HOOFD_180,procedure change,2014-08-15 10:00:38+00:00,2014-08-13 22:00:00+00:00,560431,560752,procedure verandering,01_HOOFD_180,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
EMPTY,2014-08-14 00:00:00+00:00,2014-08-19 09:58:21+00:00,01_HOOFD_015,phase application received,2014-08-15 09:58:21+00:00,2014-08-13 22:00:00+00:00,560431,560752,fase aanvraag ontvangen,01_HOOFD_015,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
EMPTY,2014-08-14 00:00:00+00:00,2014-08-19 09:56:45+00:00,01_HOOFD_010,register submission date request,2014-08-15 09:56:45+00:00,2014-08-13 22:00:00+00:00,560752,560752,registratie datum binnenkomst aanvraag,01_HOOFD_010,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
EMPTY,2014-08-14 00:00:00+00:00,,01_HOOFD_065_1,send procedure confirmation,2014-08-15 09:58:30+00:00,2014-08-13 22:00:00+00:00,560431,560752,procedurebevestiging versturen,01_HOOFD_065_1,complete,10044776,560431,2014-09-11 22:00:00+00:00,G,Kap,,Procedure afgebroken,557669,2014-08-13 22:00:00+00:00,True,10044881.0,Termijn tot besluit,,,,,
